surface_form,search_arg,kind,pos_filter,ambiguity_flag,idiom_family,notes
Insan*,insan,stem,,low,,"Prefix catches insane, insanely, insanity, insanities."
Mad*,mad,stem,JJ,high,,POS filter to adjectives; drops madam/made/Madison. Loses noun senses -- see madman/madhouse rows.
madman,madman,stem,,low,,Also catches madmen; distinct from 'mad' + POS filter.
madhouse,madhouse,stem,,low,,Also catches madhouses.
madness,madness,stem,,low,,
Lunatic,lunatic,stem,,low,,"Catches lunatic, lunatics, lunatical."
Lunacy,lunac,stem,,low,,"Catches lunacy, lunacies."
Mental,mental,stem,,med,,"Catches mental, mentally, mentality; some non-target uses ('mental arithmetic')."
disorder,disorder,stem,,med,,"Catches disorder, disorders, disordered; some non-medical usage."
Ill,ill,stem,JJ,high,,POS filter to adjectives to drop illegal/illicit/illustrious. Still noisy; audit.
illness,illness,stem,,low,,"Catches illness, illnesses."
deficiency,deficien,stem,,low,,"Catches deficiency, deficient, deficiencies."
derangement,derange,stem,,low,,"Catches derange, deranged, derangement, derangements."
Nervous,nervous,stem,,low,,
Demented/Dementia,dement,stem,,low,,"Catches demented, dementia, dementing, dementias."
Crazy/craziness,craz,stem,,low,,"Catches crazy, crazier, craziest, craziness, crazed. Some 'crazing' (pottery)."
Asylum,asylum,stem,,low,,
Mental hospital,mental hospital,phrase,,low,,
Hospital,hospital,stem,,high,,Retained despite genericness -- 'hospital' itself has documented semantic drift 1820-now.
Mental institution,mental institution,phrase,,low,,
Institution,institution,stem,,high,,Generic; sub-cluster analysis may reveal mental-health portion.
Sanitarium,sanitarium,stem,,low,,
Sanatorium,sanatorium,stem,,low,,
Retreat,retreat,stem,,high,,Military and general senses dominate; sub-cluster analysis may isolate asylum sense.
Hospital for the insane,hospital for the insane,phrase,,low,,
State hospital,state hospital,phrase,,low,,
Bedlam,bedlam,stem,,low,,Historically the specific asylum; later generic 'chaos'.
Idiot,idiot,stem,,low,,"Catches idiot, idiots, idiotic, idiotical."
Idiocy,idiocy,stem,,low,,
Imbecile,imbecile,stem,,low,,"Catches imbecile, imbeciles, imbecility, imbecilic."
Feeble-minded,feeble-minded,stem,,low,,Depends on COHA tokenization of hyphens; verify with a spot query.
Feeble minded (two-token),feeble minded,phrase,,low,,Backup form if COHA splits on hyphen.
Feeblemindedness,feebleminded,stem,,low,,
Moron/Moronic,moron,stem,,low,,"Catches moron, morons, moronic, moronism."
Cretin/Cretinism,cretin,stem,,low,,
Mental retardation,mental retardation,phrase,,low,,
Retard,retard,stem,,med,,Pre-20thc verb sense 'to slow' also present; clinical/pejorative sense emerges over time -- exactly the drift signal.
Mental deficiency,mental deficiency,phrase,,low,,
Mentally defective,mentally defective,phrase,,low,,
Congenital deficiency,congenital deficiency,phrase,,low,,
Melancholia/Melancholy,melanchol,stem,,low,,"Catches melancholy, melancholic, melancholia, melancholics."
Monomania,monomania,stem,,low,,
Circular insanity,circular insanity,phrase,,low,,
Mania,mania,stem,,low,,"Catches mania, manias, maniac, maniacal, maniacally."
Manic,manic,stem,,low,,
Manic-depressive insanity,manic-depressive insanity,phrase,,low,,Hyphenation tokenization matters; also try 'manic depressive insanity' as backup.
Manic depressive insanity (two-token),manic depressive insanity,phrase,,low,,
