occurrence,search,text_id,document_file,genre,year,document_word_count,title,author,source,token_index,match_word_1,match_lemma_1,match_pos_1,corpus_token_id_1,word_id_1,context_before,matched_text,context_after,full_context
1,insan,505250,mag_1855_505250.txt,MAG,1855,9592,"Dog, Described And Illustrated",,Harpers: April 1855: 615-628,2481,insane,insane,jj,389422400,5931,"dog . Crowds of idlers daily collected , and there stood the hero , or rather , there raved the",insane,"creature at the multitude , each individual indulging the vague hope , that he would presently break loose and pitch","dog . Crowds of idlers daily collected , and there stood the hero , or rather , there raved the insane creature at the multitude , each individual indulging the vague hope , that he would presently break loose and pitch"
2,insan,505250,mag_1855_505250.txt,MAG,1855,9592,"Dog, Described And Illustrated",,Harpers: April 1855: 615-628,3196,insane,insane,jj,389423115,5931,"the ridiculous little terrier was inside of the ring , snarling and growling , and occasionally rendering the bear perfectly",insane,"with fury , by attempting to @ @ @ @ @ @ @ @ @ @ destroying rats is illustrated","the ridiculous little terrier was inside of the ring , snarling and growling , and occasionally rendering the bear perfectly insane with fury , by attempting to @ @ @ @ @ @ @ @ @ @ destroying rats is illustrated"
3,insan,740550,news_1870_740550.txt,NEWS,1870,842,CONFESSION OF A MURDERER.; Four Years' Silence at Length Broken--The Maggie Carney Murder in Philadeiphia,,New York Times: (Features): 18700708,38,insane,insane,jj,421406895,5931,", and during the proceedings it was both attempted to proye an alibi and to show that the prisoner was",insane,". Witnesses proved conclusively the presence of the accused with the deceased but a few minutes before her death ,",", and during the proceedings it was both attempted to proye an alibi and to show that the prisoner was insane . Witnesses proved conclusively the presence of the accused with the deceased but a few minutes before her death ,"
4,insan,740550,news_1870_740550.txt,NEWS,1870,842,CONFESSION OF A MURDERER.; Four Years' Silence at Length Broken--The Maggie Carney Murder in Philadeiphia,,New York Times: (Features): 18700708,100,insanity,insanity,nn1,421406957,11581,"first degree . During the trial , several physicians were called to give their opinion as to the accused 's",insanity,". The weight of their testimony , however , was against him , and immediately after conviction the mother of","first degree . During the trial , several physicians were called to give their opinion as to the accused 's insanity . The weight of their testimony , however , was against him , and immediately after conviction the mother of"
5,insan,740550,news_1870_740550.txt,NEWS,1870,842,CONFESSION OF A MURDERER.; Four Years' Silence at Length Broken--The Maggie Carney Murder in Philadeiphia,,New York Times: (Features): 18700708,148,insanity,insanity,nn1,421407005,11581,", and importuning Gov . CURTIN so vehemently to save , her son 's life on the ground of alleged",insanity,", the Executive at last was so moved by the appeals to his sympathy and love of justice that he",", and importuning Gov . CURTIN so vehemently to save , her son 's life on the ground of alleged insanity , the Executive at last was so moved by the appeals to his sympathy and love of justice that he"
6,insan,740550,news_1870_740550.txt,NEWS,1870,842,CONFESSION OF A MURDERER.; Four Years' Silence at Length Broken--The Maggie Carney Murder in Philadeiphia,,New York Times: (Features): 18700708,199,insane,insane,jj,421407056,5931,report upon the actual state of the mind of @ @ @ @ @ @ @ @ @ @ was,insane,", and consequently the Governor never signed his death-warrant , and he was allowed to remain in prison . About","report upon the actual state of the mind of @ @ @ @ @ @ @ @ @ @ was insane , and consequently the Governor never signed his death-warrant , and he was allowed to remain in prison . About"
7,insan,740550,news_1870_740550.txt,NEWS,1870,842,CONFESSION OF A MURDERER.; Four Years' Silence at Length Broken--The Maggie Carney Murder in Philadeiphia,,New York Times: (Features): 18700708,290,insanity,insanity,nn1,421407147,11581,"mother , who frequently visited him , not any longer "" to use the crazy dodge and ' prattle about",insanity,", for that was all nonsense and a farce , but to appeal to the Governor for liberation on the","mother , who frequently visited him , not any longer "" to use the crazy dodge and ' prattle about insanity , for that was all nonsense and a farce , but to appeal to the Governor for liberation on the"
8,insan,2650,fic_1874_2650.txt,FIC,1874,74938,Idolatry A Romance,"Hawthorne, Julian, 1846-1934",,38205,insanity,insanity,nn1,42844683,11581,"@ @ @ all comers . Trim the sail , ferryman , and steer thy skilfullest ! The kind of",insanity,which sees in outward manifestation the fantasies of the mind is an affection incident at times to every one .," all comers . Trim the sail , ferryman , and steer thy skilfullest ! The kind of insanity which sees in outward manifestation the fantasies of the mind is an affection incident at times to every one ."
9,insan,2650,fic_1874_2650.txt,FIC,1874,74938,Idolatry A Romance,"Hawthorne, Julian, 1846-1934",,38247,insane,insane,jj,42844725,5931,"artist sees beauties in a landscape , an artisan in pulleys and levers , and either may be so far",insane,"in the eyes of the other . Nature discovers grandeur , beauty , or truth according as the quality abides","artist sees beauties in a landscape , an artisan in pulleys and levers , and either may be so far insane in the eyes of the other . Nature discovers grandeur , beauty , or truth according as the quality abides"
10,insan,2650,fic_1874_2650.txt,FIC,1874,74938,Idolatry A Romance,"Hawthorne, Julian, 1846-1934",,38282,insane,insane,jj,42844760,5931,truth according as the quality abides in the seer . In this view Balder or Don Quixote was no more,insane,"than other people . Their eyes bore true witness to what was in their minds , and the sanest eyes","truth according as the quality abides in the seer . In this view Balder or Don Quixote was no more insane than other people . Their eyes bore true witness to what was in their minds , and the sanest eyes"
